Flags, Packages, Description
, grub, "grub menu"
, efibootmgt, "efi boot manager for efi systems"
, networkmanager, "network managers - need to abilitate it in systemctl"
, network-manager-applet, "terminal applet for networkmanager"
, wireless_tools, "tools for wifi"
, wpa_supplicant, "to configure wifi networks"
, dialog, ""
, mtools, "takes care of windows filesystems"
, dosfstools, "takes care of fat file systems"
, base-dev, "development tools"
, linux-headers, "headers for linux kernel"
, bluez, "bluetooth manager - need to abilitate it in systemctl"
, bluez-utils, "utilities for bluetooth manager"
, git, "git"
, pulseaudio, "audio system"
, pulseaudio-bluetooth, "audio bluetooth"
, pulseaudio-alsa, "to manage alsa sound system already in linux kernel"
, pulseaudio-equalizer, "equalizer for pulse audio"
, pulseaudio-jack, ""
, xdg-utils, "creates default directoris, i.e. home, download, pictures, .config"
, xdg-user-dirs, "to create user directories, i.e. when you create a user the default dirs are created along"
, xf86-video-intel, "intel video card driver"
, xorg-server, "x server" 
, xorg-init, "to use .xinit to initialize x11"
, xorg-xrandr, "to adjust screen settings and manage external monitors"
, arandr, "graphical utility to set up monitor and external monitors"
, chromium, "web browser"
, feh, "braground manager"
, picom, "composer - to manage window transition etc"
, bspwm, "bsp window manager"
, sxhkd, "to manage key bindings in bspwm"
, man, "cli man"
, xorg-xev, "an utility to show X events"
, nfs-utils, "to mount nfs via fstab"
, zathura, "document viewer"
, zathura-pdf-poppler, "zathura pdf plugin"
, go, "go programming "
, tmux, "terminal multipler"
, dunst, "notification centre"
, xorg-xbacklight, "backlight utils"
